nn3.py, Model=1024,256,256+388
Tuning process for lr=2e-05
----------------------------------------------------------
lr=2e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 12199.734766	 Valid Acc: 0.6802145074795372 	Best Valid Acc: 0.680215
Epoch: 2 	Training Cost: 11543.422393	 Valid Acc: 0.6814846175557437 	Best Valid Acc: 0.681485
Epoch: 3 	Training Cost: 11492.404418	 Valid Acc: 0.6819079875811459 	Best Valid Acc: 0.681908
Epoch: 4 	Training Cost: 11460.705981	 Valid Acc: 0.6817668642393452 	Best Valid Acc: 0.681908
Epoch: 5 	Training Cost: 11425.643242	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 6 	Training Cost: 11382.591789	 Valid Acc: 0.6837425910245555 	Best Valid Acc: 0.683743
Epoch: 7 	Training Cost: 11318.913258	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.686424
Epoch: 8 	Training Cost: 11211.871495	 Valid Acc: 0.6875529212531752 	Best Valid Acc: 0.687553
Epoch: 9 	Training Cost: 11023.306550	 Valid Acc: 0.694044594976009 	Best Valid Acc: 0.694045
Epoch: 10 	Training Cost: 10767.372930	 Valid Acc: 0.6995484053062376 	Best Valid Acc: 0.699548
Epoch: 11 	Training Cost: 10529.755451	 Valid Acc: 0.7001128986734406 	Best Valid Acc: 0.700113
Epoch: 12 	Training Cost: 10355.472113	 Valid Acc: 0.7036409822184589 	Best Valid Acc: 0.703641
Epoch: 13 	Training Cost: 10231.138248	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.706040
Epoch: 14 	Training Cost: 10135.707861	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.709427
Epoch: 15 	Training Cost: 10056.197189	 Valid Acc: 0.7102737792830934 	Best Valid Acc: 0.710274
Epoch: 16 	Training Cost: 9984.723245	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.710274
Epoch: 17 	Training Cost: 9916.267024	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.710274
Epoch: 18 	Training Cost: 9849.682867	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.710697
Epoch: 19 	Training Cost: 9783.057924	 Valid Acc: 0.7108382726502963 	Best Valid Acc: 0.710838
Epoch: 20 	Training Cost: 9714.810124	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.710838
Epoch: 21 	Training Cost: 9645.431015	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.710838
Epoch: 22 	Training Cost: 9574.608066	 Valid Acc: 0.7104149026248942 	Best Valid Acc: 0.710838
Epoch: 23 	Training Cost: 9502.736252	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.710838
Epoch: 24 	Training Cost: 9429.344046	 Valid Acc: 0.7101326559412927 	Best Valid Acc: 0.710838
Epoch: 25 	Training Cost: 9354.281668	 Valid Acc: 0.7108382726502963 	Best Valid Acc: 0.710838
Epoch: 26 	Training Cost: 9277.598888	 Valid Acc: 0.7109793959920971 	Best Valid Acc: 0.710979
Epoch: 27 	Training Cost: 9198.144187	 Valid Acc: 0.7109793959920971 	Best Valid Acc: 0.710979
Epoch: 28 	Training Cost: 9114.822527	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.710979
Epoch: 29 	Training Cost: 9028.107109	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.710979
Epoch: 30 	Training Cost: 8938.380802	 Valid Acc: 0.709991532599492 	Best Valid Acc: 0.710979
Epoch: 31 	Training Cost: 8845.089167	 Valid Acc: 0.7077335591306803 	Best Valid Acc: 0.710979
Epoch: 32 	Training Cost: 8749.280764	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.710979
Epoch: 33 	Training Cost: 8651.123971	 Valid Acc: 0.7034998588766582 	Best Valid Acc: 0.710979
Epoch: 34 	Training Cost: 8551.934492	 Valid Acc: 0.703076488851256 	Best Valid Acc: 0.710979
Epoch: 35 	Training Cost: 8451.926512	 Valid Acc: 0.7013830087496472 	Best Valid Acc: 0.710979
Epoch: 36 	Training Cost: 8352.039351	 Valid Acc: 0.7022297488004516 	Best Valid Acc: 0.710979
Epoch: 37 	Training Cost: 8250.950331	 Valid Acc: 0.7008185153824442 	Best Valid Acc: 0.710979
Epoch: 38 	Training Cost: 8149.037954	 Valid Acc: 0.7002540220152413 	Best Valid Acc: 0.710979
Epoch: 39 	Training Cost: 8045.746536	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.710979
Epoch: 40 	Training Cost: 7941.884986	 Valid Acc: 0.696725938470223 	Best Valid Acc: 0.710979
Epoch: 41 	Training Cost: 7837.149717	 Valid Acc: 0.6965848151284222 	Best Valid Acc: 0.710979
Epoch: 42 	Training Cost: 7732.822061	 Valid Acc: 0.6947502116850127 	Best Valid Acc: 0.710979
Epoch: 43 	Training Cost: 7629.138669	 Valid Acc: 0.6933389782670054 	Best Valid Acc: 0.710979
Epoch: 44 	Training Cost: 7526.339424	 Valid Acc: 0.6913632514817951 	Best Valid Acc: 0.710979
Epoch: 45 	Training Cost: 7424.650887	 Valid Acc: 0.6892464013547841 	Best Valid Acc: 0.710979
Epoch: 46 	Training Cost: 7324.869085	 Valid Acc: 0.6892464013547841 	Best Valid Acc: 0.710979
Epoch: 47 	Training Cost: 7225.208419	 Valid Acc: 0.688258537962179 	Best Valid Acc: 0.710979
Epoch: 48 	Training Cost: 7126.613889	 Valid Acc: 0.6868473045441716 	Best Valid Acc: 0.710979
Epoch: 49 	Training Cost: 7028.354447	 Valid Acc: 0.6847304544171606 	Best Valid Acc: 0.710979
Epoch: 50 	Training Cost: 6930.664496	 Valid Acc: 0.6843070843917584 	Best Valid Acc: 0.710979
Epoch: 51 	Training Cost: 6832.937037	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.710979
Epoch: 52 	Training Cost: 6735.143877	 Valid Acc: 0.681343494213943 	Best Valid Acc: 0.710979
Epoch: 53 	Training Cost: 6637.575752	 Valid Acc: 0.6802145074795372 	Best Valid Acc: 0.710979
Epoch: 54 	Training Cost: 6539.487203	 Valid Acc: 0.678662150719729 	Best Valid Acc: 0.710979
Epoch: 55 	Training Cost: 6442.021501	 Valid Acc: 0.6779565340107254 	Best Valid Acc: 0.710979
Epoch: 56 	Training Cost: 6344.697635	 Valid Acc: 0.6778154106689246 	Best Valid Acc: 0.710979
Epoch: 57 	Training Cost: 6247.516626	 Valid Acc: 0.6783799040361276 	Best Valid Acc: 0.710979
Epoch: 58 	Training Cost: 6151.314628	 Valid Acc: 0.6789443974033305 	Best Valid Acc: 0.710979
Epoch: 59 	Training Cost: 6055.891392	 Valid Acc: 0.6783799040361276 	Best Valid Acc: 0.710979
Epoch: 60 	Training Cost: 5961.469311	 Valid Acc: 0.6793677674287327 	Best Valid Acc: 0.710979
Epoch: 61 	Training Cost: 5868.243927	 Valid Acc: 0.6782387806943269 	Best Valid Acc: 0.710979
Epoch: 62 	Training Cost: 5775.549573	 Valid Acc: 0.6769686706181203 	Best Valid Acc: 0.710979
Epoch: 63 	Training Cost: 5684.238908	 Valid Acc: 0.6752751905165114 	Best Valid Acc: 0.710979
Epoch: 64 	Training Cost: 5593.997508	 Valid Acc: 0.6738639570985041 	Best Valid Acc: 0.710979
Epoch: 65 	Training Cost: 5505.113486	 Valid Acc: 0.6734405870731018 	Best Valid Acc: 0.710979
Epoch: 66 	Training Cost: 5417.424322	 Valid Acc: 0.6709003669206887 	Best Valid Acc: 0.710979
Epoch: 67 	Training Cost: 5331.072591	 Valid Acc: 0.6697713801862828 	Best Valid Acc: 0.710979
Epoch: 68 	Training Cost: 5246.037478	 Valid Acc: 0.668077900084674 	Best Valid Acc: 0.710979
