nn4.py, Model=900, 256, 128, 64
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0, num_epoch=167
Epoch: 1 	Training Cost: 13822.842103	 Valid Acc: 0.6305390911656789 	Best Valid Acc: 0.630539
Epoch: 2 	Training Cost: 12687.379448	 Valid Acc: 0.6685012701100762 	Best Valid Acc: 0.668501
Epoch: 3 	Training Cost: 11962.020108	 Valid Acc: 0.6740050804403048 	Best Valid Acc: 0.674005
Epoch: 4 	Training Cost: 11692.565187	 Valid Acc: 0.6768275472763196 	Best Valid Acc: 0.676828
Epoch: 5 	Training Cost: 11570.230599	 Valid Acc: 0.68077900084674 	Best Valid Acc: 0.680779
Epoch: 6 	Training Cost: 11503.998861	 Valid Acc: 0.6793677674287327 	Best Valid Acc: 0.680779
Epoch: 7 	Training Cost: 11464.886297	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.682190
Epoch: 8 	Training Cost: 11440.607395	 Valid Acc: 0.6827547276319503 	Best Valid Acc: 0.682755
Epoch: 9 	Training Cost: 11425.040978	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.682896
Epoch: 10 	Training Cost: 11414.782803	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.682896
Epoch: 11 	Training Cost: 11407.818446	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.683037
Epoch: 12 	Training Cost: 11402.819686	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.683037
Epoch: 13 	Training Cost: 11398.589660	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.683037
Epoch: 14 	Training Cost: 11392.692894	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.683037
Epoch: 15 	Training Cost: 11379.260876	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.683037
Epoch: 16 	Training Cost: 11349.364841	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.683037
Epoch: 17 	Training Cost: 11298.236990	 Valid Acc: 0.6848715777589613 	Best Valid Acc: 0.684872
Epoch: 18 	Training Cost: 11231.423186	 Valid Acc: 0.6817668642393452 	Best Valid Acc: 0.684872
Epoch: 19 	Training Cost: 11159.891127	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.684872
Epoch: 20 	Training Cost: 11093.881191	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.684872
