nn5.py, two encoders + one decoder
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 13027.190345	 Valid Acc: 0.676545300592718 	Best Valid Acc: 0.676545
Epoch: 2 	Training Cost: 11646.629344	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.682472
Epoch: 3 	Training Cost: 11460.749120	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.682896
Epoch: 4 	Training Cost: 11396.795712	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 5 	Training Cost: 11346.354872	 Valid Acc: 0.6858594411515665 	Best Valid Acc: 0.685859
Epoch: 6 	Training Cost: 11272.559884	 Valid Acc: 0.6857183178097658 	Best Valid Acc: 0.685859
Epoch: 7 	Training Cost: 11149.200488	 Valid Acc: 0.6868473045441716 	Best Valid Acc: 0.686847
Epoch: 8 	Training Cost: 10984.511725	 Valid Acc: 0.6958791984194186 	Best Valid Acc: 0.695879
Epoch: 9 	Training Cost: 10805.008108	 Valid Acc: 0.6989839119390348 	Best Valid Acc: 0.698984
Epoch: 10 	Training Cost: 10638.408897	 Valid Acc: 0.7012418854078465 	Best Valid Acc: 0.701242
Epoch: 11 	Training Cost: 10502.557458	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.704488
Epoch: 12 	Training Cost: 10395.245385	 Valid Acc: 0.7067456957380751 	Best Valid Acc: 0.706746
Epoch: 13 	Training Cost: 10308.848869	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708721
Epoch: 14 	Training Cost: 10237.048725	 Valid Acc: 0.7084391758396839 	Best Valid Acc: 0.708721
Epoch: 15 	Training Cost: 10176.333734	 Valid Acc: 0.7092859158904883 	Best Valid Acc: 0.709286
Epoch: 16 	Training Cost: 10122.738294	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.709286
Epoch: 17 	Training Cost: 10073.831594	 Valid Acc: 0.709991532599492 	Best Valid Acc: 0.709992
Epoch: 18 	Training Cost: 10029.105781	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.709992
Epoch: 19 	Training Cost: 9988.425554	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.710697
Epoch: 20 	Training Cost: 9951.447515	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 21 	Training Cost: 9917.534019	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.712673
Epoch: 22 	Training Cost: 9885.999026	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.713237
