nn6.py, two encoders + one decoder (map to high dimension first)
Tuning process for lr=2e-05
----------------------------------------------------------
lr=2e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 13291.437124	 Valid Acc: 0.6618684730454417 	Best Valid Acc: 0.661868
Epoch: 2 	Training Cost: 11826.168367	 Valid Acc: 0.6783799040361276 	Best Valid Acc: 0.678380
Epoch: 3 	Training Cost: 11514.658604	 Valid Acc: 0.6843070843917584 	Best Valid Acc: 0.684307
Epoch: 4 	Training Cost: 11409.173801	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685295
Epoch: 5 	Training Cost: 11346.202985	 Valid Acc: 0.6874117979113745 	Best Valid Acc: 0.687412
Epoch: 6 	Training Cost: 11284.317124	 Valid Acc: 0.6868473045441716 	Best Valid Acc: 0.687412
Epoch: 7 	Training Cost: 11195.920428	 Valid Acc: 0.6874117979113745 	Best Valid Acc: 0.687412
Epoch: 8 	Training Cost: 11069.477737	 Valid Acc: 0.6895286480383855 	Best Valid Acc: 0.689529
Epoch: 9 	Training Cost: 10919.401859	 Valid Acc: 0.6954558283940163 	Best Valid Acc: 0.695456
Epoch: 10 	Training Cost: 10769.629374	 Valid Acc: 0.6974315551792266 	Best Valid Acc: 0.697432
Epoch: 11 	Training Cost: 10634.364025	 Valid Acc: 0.7009596387242449 	Best Valid Acc: 0.700960
Epoch: 12 	Training Cost: 10516.226137	 Valid Acc: 0.7016652554332486 	Best Valid Acc: 0.701665
Epoch: 13 	Training Cost: 10411.957148	 Valid Acc: 0.7027942421676545 	Best Valid Acc: 0.702794
Epoch: 14 	Training Cost: 10319.365968	 Valid Acc: 0.7037821055602597 	Best Valid Acc: 0.703782
Epoch: 15 	Training Cost: 10238.356039	 Valid Acc: 0.7049110922946655 	Best Valid Acc: 0.704911
Epoch: 16 	Training Cost: 10168.563258	 Valid Acc: 0.707310189105278 	Best Valid Acc: 0.707310
Epoch: 17 	Training Cost: 10108.245924	 Valid Acc: 0.7085802991814846 	Best Valid Acc: 0.708580
Epoch: 18 	Training Cost: 10055.441891	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709568
Epoch: 19 	Training Cost: 10008.784262	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.709850
Epoch: 20 	Training Cost: 9966.994614	 Valid Acc: 0.7114027660174993 	Best Valid Acc: 0.711403
Epoch: 21 	Training Cost: 9929.308416	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712108
Epoch: 22 	Training Cost: 9894.550173	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 23 	Training Cost: 9862.154838	 Valid Acc: 0.7116850127011007 	Best Valid Acc: 0.712250
Epoch: 24 	Training Cost: 9831.507130	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712391
Epoch: 25 	Training Cost: 9802.589272	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712391
Epoch: 26 	Training Cost: 9774.733199	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.713520
Epoch: 27 	Training Cost: 9747.461730	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714084
Epoch: 28 	Training Cost: 9720.180554	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.714084
Epoch: 29 	Training Cost: 9692.612688	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.714084
Epoch: 30 	Training Cost: 9663.778398	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.714084
Epoch: 31 	Training Cost: 9633.322697	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.714084
Epoch: 32 	Training Cost: 9600.588331	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.714084
Epoch: 33 	Training Cost: 9565.043432	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714084
Epoch: 34 	Training Cost: 9526.244702	 Valid Acc: 0.7149308495625176 	Best Valid Acc: 0.714931
Epoch: 35 	Training Cost: 9484.141777	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.714931
Epoch: 36 	Training Cost: 9439.142672	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.715072
Epoch: 37 	Training Cost: 9391.449533	 Valid Acc: 0.7152130962461191 	Best Valid Acc: 0.715213
Epoch: 38 	Training Cost: 9342.025795	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.715213
Epoch: 39 	Training Cost: 9291.068332	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.715213
Epoch: 40 	Training Cost: 9239.161582	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.715213
Epoch: 41 	Training Cost: 9187.148581	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.715213
Epoch: 42 	Training Cost: 9135.645212	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.715213
Epoch: 43 	Training Cost: 9084.423883	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.715213
Epoch: 44 	Training Cost: 9033.809751	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.715213
Epoch: 45 	Training Cost: 8983.816795	 Valid Acc: 0.7082980524978831 	Best Valid Acc: 0.715213
Epoch: 46 	Training Cost: 8934.100373	 Valid Acc: 0.7084391758396839 	Best Valid Acc: 0.715213
Epoch: 47 	Training Cost: 8884.256918	 Valid Acc: 0.7068868190798758 	Best Valid Acc: 0.715213
Epoch: 48 	Training Cost: 8834.808569	 Valid Acc: 0.707310189105278 	Best Valid Acc: 0.715213
Epoch: 49 	Training Cost: 8784.670841	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.715213
Epoch: 50 	Training Cost: 8734.981592	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.715213
Epoch: 51 	Training Cost: 8684.339931	 Valid Acc: 0.703076488851256 	Best Valid Acc: 0.715213
Epoch: 52 	Training Cost: 8632.675322	 Valid Acc: 0.7026531188258538 	Best Valid Acc: 0.715213
Epoch: 53 	Training Cost: 8580.571958	 Valid Acc: 0.7008185153824442 	Best Valid Acc: 0.715213
Epoch: 54 	Training Cost: 8527.980307	 Valid Acc: 0.7009596387242449 	Best Valid Acc: 0.715213
Epoch: 55 	Training Cost: 8476.081828	 Valid Acc: 0.698842788597234 	Best Valid Acc: 0.715213
Epoch: 56 	Training Cost: 8423.125862	 Valid Acc: 0.7003951453570421 	Best Valid Acc: 0.715213
Epoch: 57 	Training Cost: 8370.010047	 Valid Acc: 0.6978549252046289 	Best Valid Acc: 0.715213
Epoch: 58 	Training Cost: 8317.254245	 Valid Acc: 0.6977138018628282 	Best Valid Acc: 0.715213
Epoch: 59 	Training Cost: 8263.418164	 Valid Acc: 0.6971493084956252 	Best Valid Acc: 0.715213
Epoch: 60 	Training Cost: 8210.138170	 Valid Acc: 0.6947502116850127 	Best Valid Acc: 0.715213
Epoch: 61 	Training Cost: 8156.540183	 Valid Acc: 0.6955969517358171 	Best Valid Acc: 0.715213
Epoch: 62 	Training Cost: 8102.859907	 Valid Acc: 0.694609088343212 	Best Valid Acc: 0.715213
Epoch: 63 	Training Cost: 8049.314770	 Valid Acc: 0.6951735817104149 	Best Valid Acc: 0.715213
Epoch: 64 	Training Cost: 7995.965208	 Valid Acc: 0.6937623482924076 	Best Valid Acc: 0.715213
Epoch: 65 	Training Cost: 7943.065888	 Valid Acc: 0.6933389782670054 	Best Valid Acc: 0.715213
Epoch: 66 	Training Cost: 7890.826107	 Valid Acc: 0.6930567315834039 	Best Valid Acc: 0.715213
Epoch: 67 	Training Cost: 7837.571727	 Valid Acc: 0.6913632514817951 	Best Valid Acc: 0.715213
Epoch: 68 	Training Cost: 7786.044516	 Valid Acc: 0.6917866215071973 	Best Valid Acc: 0.715213
Epoch: 69 	Training Cost: 7734.565868	 Valid Acc: 0.6907987581145921 	Best Valid Acc: 0.715213
Epoch: 70 	Training Cost: 7684.180047	 Valid Acc: 0.6899520180637877 	Best Valid Acc: 0.715213
Epoch: 71 	Training Cost: 7634.660900	 Valid Acc: 0.6892464013547841 	Best Valid Acc: 0.715213
Epoch: 72 	Training Cost: 7585.697709	 Valid Acc: 0.6888230313293818 	Best Valid Acc: 0.715213
Epoch: 73 	Training Cost: 7536.637265	 Valid Acc: 0.6906576347727914 	Best Valid Acc: 0.715213
Epoch: 74 	Training Cost: 7488.565715	 Valid Acc: 0.6878351679367768 	Best Valid Acc: 0.715213
Epoch: 75 	Training Cost: 7439.788178	 Valid Acc: 0.6886819079875811 	Best Valid Acc: 0.715213
Epoch: 76 	Training Cost: 7391.911797	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.715213
Epoch: 77 	Training Cost: 7344.299165	 Valid Acc: 0.6872706745695738 	Best Valid Acc: 0.715213
Epoch: 78 	Training Cost: 7295.883317	 Valid Acc: 0.6872706745695738 	Best Valid Acc: 0.715213
Epoch: 79 	Training Cost: 7248.973393	 Valid Acc: 0.6860005644933672 	Best Valid Acc: 0.715213
Epoch: 80 	Training Cost: 7201.344480	 Valid Acc: 0.6857183178097658 	Best Valid Acc: 0.715213
Epoch: 81 	Training Cost: 7153.675897	 Valid Acc: 0.6855771944679651 	Best Valid Acc: 0.715213
Epoch: 82 	Training Cost: 7105.848777	 Valid Acc: 0.6844482077335591 	Best Valid Acc: 0.715213
Epoch: 83 	Training Cost: 7057.386607	 Valid Acc: 0.6838837143663562 	Best Valid Acc: 0.715213
Epoch: 84 	Training Cost: 7009.387511	 Valid Acc: 0.6847304544171606 	Best Valid Acc: 0.715213
Epoch: 85 	Training Cost: 6960.752469	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.715213
Epoch: 86 	Training Cost: 6912.592982	 Valid Acc: 0.6820491109229466 	Best Valid Acc: 0.715213
Epoch: 87 	Training Cost: 6865.121985	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.715213
Epoch: 88 	Training Cost: 6815.881291	 Valid Acc: 0.6800733841377364 	Best Valid Acc: 0.715213
Epoch: 89 	Training Cost: 6767.558012	 Valid Acc: 0.6790855207451313 	Best Valid Acc: 0.715213
Epoch: 90 	Training Cost: 6718.084056	 Valid Acc: 0.6789443974033305 	Best Valid Acc: 0.715213
Epoch: 91 	Training Cost: 6669.684710	 Valid Acc: 0.6806378775049393 	Best Valid Acc: 0.715213
Epoch: 92 	Training Cost: 6620.439691	 Valid Acc: 0.6799322607959356 	Best Valid Acc: 0.715213
Epoch: 93 	Training Cost: 6572.136201	 Valid Acc: 0.6809201241885408 	Best Valid Acc: 0.715213
Epoch: 94 	Training Cost: 6522.975869	 Valid Acc: 0.6789443974033305 	Best Valid Acc: 0.715213
Epoch: 95 	Training Cost: 6473.855249	 Valid Acc: 0.6796500141123342 	Best Valid Acc: 0.715213
Epoch: 96 	Training Cost: 6424.721013	 Valid Acc: 0.6806378775049393 	Best Valid Acc: 0.715213
Epoch: 97 	Training Cost: 6376.870722	 Valid Acc: 0.6795088907705334 	Best Valid Acc: 0.715213
Epoch: 98 	Training Cost: 6329.215454	 Valid Acc: 0.6782387806943269 	Best Valid Acc: 0.715213
Epoch: 99 	Training Cost: 6281.400581	 Valid Acc: 0.6769686706181203 	Best Valid Acc: 0.715213
Epoch: 100 	Training Cost: 6233.441572	 Valid Acc: 0.678662150719729 	Best Valid Acc: 0.715213
Epoch: 101 	Training Cost: 6186.002159	 Valid Acc: 0.676545300592718 	Best Valid Acc: 0.715213
