nn6.py, two encoders + one decoder (map to high dimension first)
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0, num_epoch=77
Epoch: 1 	Training Cost: 13826.097793	 Valid Acc: 0.627293254304262 	Best Valid Acc: 0.627293
Epoch: 2 	Training Cost: 12728.528344	 Valid Acc: 0.6587637595258256 	Best Valid Acc: 0.658764
Epoch: 3 	Training Cost: 11962.942199	 Valid Acc: 0.6742873271239063 	Best Valid Acc: 0.674287
Epoch: 4 	Training Cost: 11667.698791	 Valid Acc: 0.679226644086932 	Best Valid Acc: 0.679227
Epoch: 5 	Training Cost: 11531.648776	 Valid Acc: 0.6827547276319503 	Best Valid Acc: 0.682755
Epoch: 6 	Training Cost: 11452.521931	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 7 	Training Cost: 11400.335278	 Valid Acc: 0.6838837143663562 	Best Valid Acc: 0.683884
Epoch: 8 	Training Cost: 11362.610206	 Valid Acc: 0.6850127011007621 	Best Valid Acc: 0.685013
Epoch: 9 	Training Cost: 11332.862944	 Valid Acc: 0.6850127011007621 	Best Valid Acc: 0.685013
Epoch: 10 	Training Cost: 11305.972212	 Valid Acc: 0.6851538244425628 	Best Valid Acc: 0.685154
Epoch: 11 	Training Cost: 11278.500847	 Valid Acc: 0.6854360711261642 	Best Valid Acc: 0.685436
Epoch: 12 	Training Cost: 11246.927656	 Valid Acc: 0.6854360711261642 	Best Valid Acc: 0.685436
Epoch: 13 	Training Cost: 11208.383773	 Valid Acc: 0.6874117979113745 	Best Valid Acc: 0.687412
Epoch: 14 	Training Cost: 11160.610541	 Valid Acc: 0.6878351679367768 	Best Valid Acc: 0.687835
Epoch: 15 	Training Cost: 11102.344876	 Valid Acc: 0.6875529212531752 	Best Valid Acc: 0.687835
Epoch: 16 	Training Cost: 11034.806643	 Valid Acc: 0.6881174146203782 	Best Valid Acc: 0.688117
Epoch: 17 	Training Cost: 10961.243949	 Valid Acc: 0.6900931414055885 	Best Valid Acc: 0.690093
Epoch: 18 	Training Cost: 10884.559322	 Valid Acc: 0.6936212249506069 	Best Valid Acc: 0.693621
Epoch: 19 	Training Cost: 10807.443745	 Valid Acc: 0.69616144510302 	Best Valid Acc: 0.696161
Epoch: 20 	Training Cost: 10732.881394	 Valid Acc: 0.694044594976009 	Best Valid Acc: 0.696161
Epoch: 21 	Training Cost: 10662.334908	 Valid Acc: 0.6957380750776179 	Best Valid Acc: 0.696161
Epoch: 22 	Training Cost: 10596.329208	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.698561
Epoch: 23 	Training Cost: 10534.649576	 Valid Acc: 0.6992661586226362 	Best Valid Acc: 0.699266
Epoch: 24 	Training Cost: 10476.520332	 Valid Acc: 0.7009596387242449 	Best Valid Acc: 0.700960
Epoch: 25 	Training Cost: 10422.173002	 Valid Acc: 0.7022297488004516 	Best Valid Acc: 0.702230
Epoch: 26 	Training Cost: 10371.577547	 Valid Acc: 0.7033587355348575 	Best Valid Acc: 0.703359
Epoch: 27 	Training Cost: 10324.249811	 Valid Acc: 0.7027942421676545 	Best Valid Acc: 0.703359
Epoch: 28 	Training Cost: 10280.125316	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.704629
Epoch: 29 	Training Cost: 10239.006571	 Valid Acc: 0.705193338978267 	Best Valid Acc: 0.705193
Epoch: 30 	Training Cost: 10200.327246	 Valid Acc: 0.7063223257126728 	Best Valid Acc: 0.706322
Epoch: 31 	Training Cost: 10164.201496	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.706322
Epoch: 32 	Training Cost: 10130.664530	 Valid Acc: 0.7068868190798758 	Best Valid Acc: 0.706887
Epoch: 33 	Training Cost: 10099.455201	 Valid Acc: 0.7068868190798758 	Best Valid Acc: 0.706887
Epoch: 34 	Training Cost: 10070.289830	 Valid Acc: 0.7080158058142817 	Best Valid Acc: 0.708016
Epoch: 35 	Training Cost: 10043.042579	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.709427
Epoch: 36 	Training Cost: 10017.464537	 Valid Acc: 0.7092859158904883 	Best Valid Acc: 0.709427
Epoch: 37 	Training Cost: 9993.301763	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709568
Epoch: 38 	Training Cost: 9970.608042	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.709709
Epoch: 39 	Training Cost: 9949.199729	 Valid Acc: 0.7101326559412927 	Best Valid Acc: 0.710133
Epoch: 40 	Training Cost: 9928.959367	 Valid Acc: 0.7105560259666949 	Best Valid Acc: 0.710556
Epoch: 41 	Training Cost: 9909.670048	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712391
Epoch: 42 	Training Cost: 9891.253362	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712391
Epoch: 43 	Training Cost: 9873.584555	 Valid Acc: 0.7119672593847022 	Best Valid Acc: 0.712391
Epoch: 44 	Training Cost: 9856.632007	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.712532
Epoch: 45 	Training Cost: 9840.297209	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712532
Epoch: 46 	Training Cost: 9824.535051	 Valid Acc: 0.7116850127011007 	Best Valid Acc: 0.712532
Epoch: 47 	Training Cost: 9809.267377	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712532
Epoch: 48 	Training Cost: 9794.451354	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712532
Epoch: 49 	Training Cost: 9780.040871	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.712814
Epoch: 50 	Training Cost: 9765.948581	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712814
Epoch: 51 	Training Cost: 9752.118862	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712814
Epoch: 52 	Training Cost: 9738.467847	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713378
Epoch: 53 	Training Cost: 9724.995267	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713661
Epoch: 54 	Training Cost: 9711.658144	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713661
Epoch: 55 	Training Cost: 9698.300264	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.713661
Epoch: 56 	Training Cost: 9684.850752	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.713661
Epoch: 57 	Training Cost: 9671.310832	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.713661
Epoch: 58 	Training Cost: 9657.482565	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.713661
Epoch: 59 	Training Cost: 9643.381449	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.713661
Epoch: 60 	Training Cost: 9628.969826	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713661
Epoch: 61 	Training Cost: 9614.221781	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.713661
Epoch: 62 	Training Cost: 9598.967626	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.713661
Epoch: 63 	Training Cost: 9583.199975	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.713661
Epoch: 64 	Training Cost: 9566.873521	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.713661
Epoch: 65 	Training Cost: 9549.911352	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.713661
Epoch: 66 	Training Cost: 9532.195599	 Valid Acc: 0.7119672593847022 	Best Valid Acc: 0.713661
Epoch: 67 	Training Cost: 9513.679138	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.713661
Epoch: 68 	Training Cost: 9494.282362	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.713661
Epoch: 69 	Training Cost: 9473.943238	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713661
Epoch: 70 	Training Cost: 9452.630037	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.713661
Epoch: 71 	Training Cost: 9430.510612	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.713661
Epoch: 72 	Training Cost: 9407.517559	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.713661
Epoch: 73 	Training Cost: 9383.730022	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713661
Epoch: 74 	Training Cost: 9359.165459	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713661
Epoch: 75 	Training Cost: 9333.965856	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713661
Epoch: 76 	Training Cost: 9308.283444	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713661
