nn6.py, two encoders + one decoder (map to high dimension first)
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0.0001, num_epoch=44
Epoch: 1 	Training Cost: 13906.337474	 Valid Acc: 0.629410104431273 	Best Valid Acc: 0.629410
Epoch: 2 	Training Cost: 12767.006643	 Valid Acc: 0.6603161162856337 	Best Valid Acc: 0.660316
Epoch: 3 	Training Cost: 11996.467693	 Valid Acc: 0.6735817104149027 	Best Valid Acc: 0.673582
Epoch: 4 	Training Cost: 11709.139135	 Valid Acc: 0.6797911374541349 	Best Valid Acc: 0.679791
Epoch: 5 	Training Cost: 11574.640596	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.682614
Epoch: 6 	Training Cost: 11496.033993	 Valid Acc: 0.6840248377081569 	Best Valid Acc: 0.684025
Epoch: 7 	Training Cost: 11444.704544	 Valid Acc: 0.6848715777589613 	Best Valid Acc: 0.684872
Epoch: 8 	Training Cost: 11407.769487	 Valid Acc: 0.6844482077335591 	Best Valid Acc: 0.684872
Epoch: 9 	Training Cost: 11378.326182	 Valid Acc: 0.6854360711261642 	Best Valid Acc: 0.685436
Epoch: 10 	Training Cost: 11351.680873	 Valid Acc: 0.6857183178097658 	Best Valid Acc: 0.685718
Epoch: 11 	Training Cost: 11323.545261	 Valid Acc: 0.6857183178097658 	Best Valid Acc: 0.685718
Epoch: 12 	Training Cost: 11290.248814	 Valid Acc: 0.6851538244425628 	Best Valid Acc: 0.685718
Epoch: 13 	Training Cost: 11248.308262	 Valid Acc: 0.6869884278859724 	Best Valid Acc: 0.686988
Epoch: 14 	Training Cost: 11194.715956	 Valid Acc: 0.6874117979113745 	Best Valid Acc: 0.687412
Epoch: 15 	Training Cost: 11127.470819	 Valid Acc: 0.6878351679367768 	Best Valid Acc: 0.687835
Epoch: 16 	Training Cost: 11046.270919	 Valid Acc: 0.69037538808919 	Best Valid Acc: 0.690375
Epoch: 17 	Training Cost: 10953.390816	 Valid Acc: 0.6923511148744003 	Best Valid Acc: 0.692351
Epoch: 18 	Training Cost: 10853.458418	 Valid Acc: 0.6965848151284222 	Best Valid Acc: 0.696585
Epoch: 19 	Training Cost: 10752.842609	 Valid Acc: 0.6978549252046289 	Best Valid Acc: 0.697855
Epoch: 20 	Training Cost: 10656.918083	 Valid Acc: 0.6989839119390348 	Best Valid Acc: 0.698984
Epoch: 21 	Training Cost: 10569.187264	 Valid Acc: 0.7011007620660458 	Best Valid Acc: 0.701101
Epoch: 22 	Training Cost: 10490.915798	 Valid Acc: 0.7027942421676545 	Best Valid Acc: 0.702794
Epoch: 23 	Training Cost: 10421.746823	 Valid Acc: 0.7067456957380751 	Best Valid Acc: 0.706746
Epoch: 24 	Training Cost: 10360.445807	 Valid Acc: 0.7067456957380751 	Best Valid Acc: 0.706746
Epoch: 25 	Training Cost: 10305.821918	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.707169
Epoch: 26 	Training Cost: 10256.997117	 Valid Acc: 0.7066045723962744 	Best Valid Acc: 0.707169
Epoch: 27 	Training Cost: 10213.284527	 Valid Acc: 0.7077335591306803 	Best Valid Acc: 0.707734
Epoch: 28 	Training Cost: 10174.262950	 Valid Acc: 0.7081569291560824 	Best Valid Acc: 0.708157
Epoch: 29 	Training Cost: 10139.384200	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.709709
Epoch: 30 	Training Cost: 10108.251641	 Valid Acc: 0.7104149026248942 	Best Valid Acc: 0.710415
Epoch: 31 	Training Cost: 10080.281694	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.710697
Epoch: 32 	Training Cost: 10055.020055	 Valid Acc: 0.7111205193338979 	Best Valid Acc: 0.711121
Epoch: 33 	Training Cost: 10032.074756	 Valid Acc: 0.7114027660174993 	Best Valid Acc: 0.711403
Epoch: 34 	Training Cost: 10011.136153	 Valid Acc: 0.7115438893593 	Best Valid Acc: 0.711544
Epoch: 35 	Training Cost: 9991.934985	 Valid Acc: 0.7118261360429015 	Best Valid Acc: 0.711826
Epoch: 36 	Training Cost: 9974.234095	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.712673
Epoch: 37 	Training Cost: 9957.804174	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.713096
Epoch: 38 	Training Cost: 9942.495133	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714084
Epoch: 39 	Training Cost: 9928.177608	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.714084
Epoch: 40 	Training Cost: 9914.757867	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.714084
Epoch: 41 	Training Cost: 9902.059067	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.714084
Epoch: 42 	Training Cost: 9890.192870	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714225
Epoch: 43 	Training Cost: 9878.706116	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.714507
Epoch: 44 	Training Cost: 9867.846029	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.715072
lr=1e-05, lamb=0.0001, num_epoch=44, test_acc=0.7090036692068868
----------------------------------------------------------
lr=1e-05, lamb=0.0001, best_valid_acc=0.7150719729043183
