nn7.py, same as nn4.py, but no question info
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 12959.738870	 Valid Acc: 0.6689246401354784 	Best Valid Acc: 0.668925
Epoch: 2 	Training Cost: 11591.539749	 Valid Acc: 0.6810612475303415 	Best Valid Acc: 0.681061
Epoch: 3 	Training Cost: 11432.299071	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 4 	Training Cost: 11362.085801	 Valid Acc: 0.6836014676827548 	Best Valid Acc: 0.683601
Epoch: 5 	Training Cost: 11285.950347	 Valid Acc: 0.6836014676827548 	Best Valid Acc: 0.683601
Epoch: 6 	Training Cost: 11162.054176	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 7 	Training Cost: 11017.805531	 Valid Acc: 0.6875529212531752 	Best Valid Acc: 0.687553
Epoch: 8 	Training Cost: 10864.811603	 Valid Acc: 0.6965848151284222 	Best Valid Acc: 0.696585
Epoch: 9 	Training Cost: 10669.523739	 Valid Acc: 0.7012418854078465 	Best Valid Acc: 0.701242
Epoch: 10 	Training Cost: 10468.589749	 Valid Acc: 0.7037821055602597 	Best Valid Acc: 0.703782
Epoch: 11 	Training Cost: 10315.319605	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.705899
Epoch: 12 	Training Cost: 10205.431420	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.707169
Epoch: 13 	Training Cost: 10123.469240	 Valid Acc: 0.7068868190798758 	Best Valid Acc: 0.707169
Epoch: 14 	Training Cost: 10058.647985	 Valid Acc: 0.7061812023708721 	Best Valid Acc: 0.707169
Epoch: 15 	Training Cost: 10003.913509	 Valid Acc: 0.7081569291560824 	Best Valid Acc: 0.708157
Epoch: 16 	Training Cost: 9955.575224	 Valid Acc: 0.7115438893593 	Best Valid Acc: 0.711544
Epoch: 17 	Training Cost: 9911.875002	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 18 	Training Cost: 9871.211095	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.713096
Epoch: 19 	Training Cost: 9833.459169	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714225
Epoch: 20 	Training Cost: 9798.792500	 Valid Acc: 0.7147897262207169 	Best Valid Acc: 0.714790
Epoch: 21 	Training Cost: 9766.940524	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.715072
Epoch: 22 	Training Cost: 9737.964289	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.715072
Epoch: 23 	Training Cost: 9710.827113	 Valid Acc: 0.7154953429297206 	Best Valid Acc: 0.715495
Epoch: 24 	Training Cost: 9684.498789	 Valid Acc: 0.7162009596387242 	Best Valid Acc: 0.716201
Epoch: 25 	Training Cost: 9659.080608	 Valid Acc: 0.7169065763477279 	Best Valid Acc: 0.716907
Epoch: 26 	Training Cost: 9632.130275	 Valid Acc: 0.715777589613322 	Best Valid Acc: 0.716907
Epoch: 27 	Training Cost: 9604.895563	 Valid Acc: 0.7156364662715213 	Best Valid Acc: 0.716907
Epoch: 28 	Training Cost: 9575.858932	 Valid Acc: 0.7166243296641265 	Best Valid Acc: 0.716907
Epoch: 29 	Training Cost: 9544.330252	 Valid Acc: 0.7162009596387242 	Best Valid Acc: 0.716907
Epoch: 30 	Training Cost: 9512.495458	 Valid Acc: 0.7153542195879199 	Best Valid Acc: 0.716907
Epoch: 31 	Training Cost: 9480.378290	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.716907
Epoch: 32 	Training Cost: 9453.616250	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.716907
Epoch: 33 	Training Cost: 9427.913939	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.716907
Epoch: 34 	Training Cost: 9401.554865	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.716907
Epoch: 35 	Training Cost: 9377.843000	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.716907
Epoch: 36 	Training Cost: 9358.313200	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.716907
Epoch: 37 	Training Cost: 9331.078029	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.716907
Epoch: 38 	Training Cost: 9307.392494	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.716907
Epoch: 39 	Training Cost: 9283.655454	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.716907
Epoch: 40 	Training Cost: 9255.467588	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.716907
Epoch: 41 	Training Cost: 9229.557350	 Valid Acc: 0.7102737792830934 	Best Valid Acc: 0.716907
Epoch: 42 	Training Cost: 9206.007217	 Valid Acc: 0.7104149026248942 	Best Valid Acc: 0.716907
Epoch: 43 	Training Cost: 9180.907091	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.716907
Epoch: 44 	Training Cost: 9151.377584	 Valid Acc: 0.7092859158904883 	Best Valid Acc: 0.716907
Epoch: 45 	Training Cost: 9129.749515	 Valid Acc: 0.7084391758396839 	Best Valid Acc: 0.716907
Epoch: 46 	Training Cost: 9105.246792	 Valid Acc: 0.7085802991814846 	Best Valid Acc: 0.716907
Epoch: 47 	Training Cost: 9077.030507	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.716907
Epoch: 48 	Training Cost: 9054.600573	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.716907
Epoch: 49 	Training Cost: 9030.990336	 Valid Acc: 0.7049110922946655 	Best Valid Acc: 0.716907
Epoch: 50 	Training Cost: 9007.289335	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.716907
Epoch: 51 	Training Cost: 8987.054061	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.716907
Epoch: 52 	Training Cost: 8962.745764	 Valid Acc: 0.7047699689528648 	Best Valid Acc: 0.716907
Epoch: 53 	Training Cost: 8936.829929	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.716907
Epoch: 54 	Training Cost: 8915.577293	 Valid Acc: 0.7053344623200677 	Best Valid Acc: 0.716907
Epoch: 55 	Training Cost: 8895.508765	 Valid Acc: 0.7040643522438611 	Best Valid Acc: 0.716907
Epoch: 56 	Training Cost: 8873.412944	 Valid Acc: 0.7027942421676545 	Best Valid Acc: 0.716907
Epoch: 57 	Training Cost: 8850.754826	 Valid Acc: 0.7029353655094552 	Best Valid Acc: 0.716907
Epoch: 58 	Training Cost: 8829.973110	 Valid Acc: 0.7023708721422524 	Best Valid Acc: 0.716907
Epoch: 59 	Training Cost: 8808.262722	 Valid Acc: 0.7039232289020604 	Best Valid Acc: 0.716907
Epoch: 60 	Training Cost: 8785.470365	 Valid Acc: 0.7025119954840531 	Best Valid Acc: 0.716907
Epoch: 61 	Training Cost: 8765.679210	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.716907
Epoch: 62 	Training Cost: 8745.653375	 Valid Acc: 0.7037821055602597 	Best Valid Acc: 0.716907
Epoch: 63 	Training Cost: 8721.179675	 Valid Acc: 0.7040643522438611 	Best Valid Acc: 0.716907
Epoch: 64 	Training Cost: 8701.574469	 Valid Acc: 0.7050522156364663 	Best Valid Acc: 0.716907
Epoch: 65 	Training Cost: 8681.438125	 Valid Acc: 0.7029353655094552 	Best Valid Acc: 0.716907
Epoch: 66 	Training Cost: 8660.942472	 Valid Acc: 0.7033587355348575 	Best Valid Acc: 0.716907
Epoch: 67 	Training Cost: 8640.245375	 Valid Acc: 0.7019475021168501 	Best Valid Acc: 0.716907
Epoch: 68 	Training Cost: 8617.342136	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.716907
Epoch: 69 	Training Cost: 8596.376734	 Valid Acc: 0.7006773920406435 	Best Valid Acc: 0.716907
Epoch: 70 	Training Cost: 8577.291349	 Valid Acc: 0.7026531188258538 	Best Valid Acc: 0.716907
Epoch: 71 	Training Cost: 8552.718653	 Valid Acc: 0.7029353655094552 	Best Valid Acc: 0.716907
Epoch: 72 	Training Cost: 8534.067950	 Valid Acc: 0.7009596387242449 	Best Valid Acc: 0.716907
Epoch: 73 	Training Cost: 8510.358965	 Valid Acc: 0.7013830087496472 	Best Valid Acc: 0.716907
Epoch: 74 	Training Cost: 8490.258578	 Valid Acc: 0.7009596387242449 	Best Valid Acc: 0.716907
Epoch: 75 	Training Cost: 8470.608585	 Valid Acc: 0.6981371718882303 	Best Valid Acc: 0.716907
Epoch: 76 	Training Cost: 8443.711740	 Valid Acc: 0.7001128986734406 	Best Valid Acc: 0.716907
Epoch: 77 	Training Cost: 8424.060811	 Valid Acc: 0.7013830087496472 	Best Valid Acc: 0.716907
Epoch: 78 	Training Cost: 8402.560932	 Valid Acc: 0.6981371718882303 	Best Valid Acc: 0.716907
Epoch: 79 	Training Cost: 8379.448625	 Valid Acc: 0.7005362686988428 	Best Valid Acc: 0.716907
Epoch: 80 	Training Cost: 8354.454760	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.716907
Epoch: 81 	Training Cost: 8329.677786	 Valid Acc: 0.6979960485464296 	Best Valid Acc: 0.716907
Epoch: 82 	Training Cost: 8304.607977	 Valid Acc: 0.7015241320914479 	Best Valid Acc: 0.716907
Epoch: 83 	Training Cost: 8276.983556	 Valid Acc: 0.69616144510302 	Best Valid Acc: 0.716907
Epoch: 84 	Training Cost: 8249.814353	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.716907
Epoch: 85 	Training Cost: 8218.764997	 Valid Acc: 0.6975726785210273 	Best Valid Acc: 0.716907
Epoch: 86 	Training Cost: 8184.789627	 Valid Acc: 0.7011007620660458 	Best Valid Acc: 0.716907
Epoch: 87 	Training Cost: 8151.514491	 Valid Acc: 0.696725938470223 	Best Valid Acc: 0.716907
Epoch: 88 	Training Cost: 8112.587528	 Valid Acc: 0.6998306519898391 	Best Valid Acc: 0.716907
Epoch: 89 	Training Cost: 8072.180192	 Valid Acc: 0.6965848151284222 	Best Valid Acc: 0.716907
Epoch: 90 	Training Cost: 8038.548369	 Valid Acc: 0.6970081851538245 	Best Valid Acc: 0.716907
Epoch: 91 	Training Cost: 7999.953366	 Valid Acc: 0.6977138018628282 	Best Valid Acc: 0.716907
Epoch: 92 	Training Cost: 7958.988630	 Valid Acc: 0.6960203217612193 	Best Valid Acc: 0.716907
Epoch: 93 	Training Cost: 7922.484864	 Valid Acc: 0.6955969517358171 	Best Valid Acc: 0.716907
Epoch: 94 	Training Cost: 7891.269569	 Valid Acc: 0.6943268416596104 	Best Valid Acc: 0.716907
Epoch: 95 	Training Cost: 7852.993549	 Valid Acc: 0.6927744848998024 	Best Valid Acc: 0.716907
Epoch: 96 	Training Cost: 7821.481750	 Valid Acc: 0.6931978549252046 	Best Valid Acc: 0.716907
Epoch: 97 	Training Cost: 7788.940618	 Valid Acc: 0.6907987581145921 	Best Valid Acc: 0.716907
Epoch: 98 	Training Cost: 7758.656406	 Valid Acc: 0.6912221281399944 	Best Valid Acc: 0.716907
Epoch: 99 	Training Cost: 7722.962660	 Valid Acc: 0.6907987581145921 	Best Valid Acc: 0.716907
Epoch: 100 	Training Cost: 7696.148222	 Valid Acc: 0.6906576347727914 	Best Valid Acc: 0.716907
Epoch: 101 	Training Cost: 7665.517409	 Valid Acc: 0.6907987581145921 	Best Valid Acc: 0.716907
Epoch: 102 	Training Cost: 7638.950278	 Valid Acc: 0.6920688681907987 	Best Valid Acc: 0.716907
Epoch: 103 	Training Cost: 7606.658602	 Valid Acc: 0.6923511148744003 	Best Valid Acc: 0.716907
Epoch: 104 	Training Cost: 7575.820495	 Valid Acc: 0.692492238216201 	Best Valid Acc: 0.716907
Epoch: 105 	Training Cost: 7550.540891	 Valid Acc: 0.6913632514817951 	Best Valid Acc: 0.716907
Epoch: 106 	Training Cost: 7520.304693	 Valid Acc: 0.692492238216201 	Best Valid Acc: 0.716907
Epoch: 107 	Training Cost: 7491.053767	 Valid Acc: 0.6906576347727914 	Best Valid Acc: 0.716907
Epoch: 108 	Training Cost: 7467.489741	 Valid Acc: 0.6910810047981937 	Best Valid Acc: 0.716907
Epoch: 109 	Training Cost: 7439.301646	 Valid Acc: 0.6891052780129834 	Best Valid Acc: 0.716907
Epoch: 110 	Training Cost: 7414.323492	 Valid Acc: 0.694609088343212 	Best Valid Acc: 0.716907
Epoch: 111 	Training Cost: 7378.702378	 Valid Acc: 0.6883996613039797 	Best Valid Acc: 0.716907
Epoch: 112 	Training Cost: 7358.347761	 Valid Acc: 0.6915043748235958 	Best Valid Acc: 0.716907
Epoch: 113 	Training Cost: 7335.855138	 Valid Acc: 0.69037538808919 	Best Valid Acc: 0.716907
Epoch: 114 	Training Cost: 7294.724463	 Valid Acc: 0.6899520180637877 	Best Valid Acc: 0.716907
Epoch: 115 	Training Cost: 7274.762148	 Valid Acc: 0.6900931414055885 	Best Valid Acc: 0.716907
Epoch: 116 	Training Cost: 7250.921868	 Valid Acc: 0.6871295512277731 	Best Valid Acc: 0.716907
Epoch: 117 	Training Cost: 7223.148920	 Valid Acc: 0.6899520180637877 	Best Valid Acc: 0.716907
Epoch: 118 	Training Cost: 7195.574369	 Valid Acc: 0.6861416878351679 	Best Valid Acc: 0.716907
Epoch: 119 	Training Cost: 7170.511502	 Valid Acc: 0.687694044594976 	Best Valid Acc: 0.716907
Epoch: 120 	Training Cost: 7144.314046	 Valid Acc: 0.6872706745695738 	Best Valid Acc: 0.716907
Epoch: 121 	Training Cost: 7120.653328	 Valid Acc: 0.6865650578605701 	Best Valid Acc: 0.716907
Epoch: 122 	Training Cost: 7096.718644	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.716907
Epoch: 123 	Training Cost: 7063.803498	 Valid Acc: 0.6855771944679651 	Best Valid Acc: 0.716907
Epoch: 124 	Training Cost: 7039.573701	 Valid Acc: 0.6841659610499576 	Best Valid Acc: 0.716907
