nn9.py, same as nn7.py, but add gender/age info
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=0, num_epoch=50
Epoch: 1 	Training Cost: 12830.963571	 Valid Acc: 0.6761219305673158 	Best Valid Acc: 0.676122
Epoch: 2 	Training Cost: 11613.630512	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.682896
Epoch: 3 	Training Cost: 11472.361905	 Valid Acc: 0.6844482077335591 	Best Valid Acc: 0.684448
Epoch: 4 	Training Cost: 11419.245761	 Valid Acc: 0.6844482077335591 	Best Valid Acc: 0.684448
Epoch: 5 	Training Cost: 11356.963875	 Valid Acc: 0.6844482077335591 	Best Valid Acc: 0.684448
Epoch: 6 	Training Cost: 11216.309954	 Valid Acc: 0.6840248377081569 	Best Valid Acc: 0.684448
Epoch: 7 	Training Cost: 11033.256982	 Valid Acc: 0.6902342647473892 	Best Valid Acc: 0.690234
Epoch: 8 	Training Cost: 10846.428044	 Valid Acc: 0.6934801016088061 	Best Valid Acc: 0.693480
Epoch: 9 	Training Cost: 10648.530779	 Valid Acc: 0.6998306519898391 	Best Valid Acc: 0.699831
Epoch: 10 	Training Cost: 10482.173218	 Valid Acc: 0.7025119954840531 	Best Valid Acc: 0.702512
Epoch: 11 	Training Cost: 10355.488916	 Valid Acc: 0.7040643522438611 	Best Valid Acc: 0.704064
Epoch: 12 	Training Cost: 10255.884268	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.705899
Epoch: 13 	Training Cost: 10177.610199	 Valid Acc: 0.707874682472481 	Best Valid Acc: 0.707875
Epoch: 14 	Training Cost: 10114.982992	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.709427
Epoch: 15 	Training Cost: 10062.873809	 Valid Acc: 0.7109793959920971 	Best Valid Acc: 0.710979
Epoch: 16 	Training Cost: 10017.937858	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 17 	Training Cost: 9978.542267	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714225
Epoch: 18 	Training Cost: 9943.127924	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.714225
Epoch: 19 	Training Cost: 9910.490699	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.714225
Epoch: 20 	Training Cost: 9879.579968	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714225
Epoch: 21 	Training Cost: 9850.539794	 Valid Acc: 0.7149308495625176 	Best Valid Acc: 0.714931
Epoch: 22 	Training Cost: 9823.192492	 Valid Acc: 0.7162009596387242 	Best Valid Acc: 0.716201
Epoch: 23 	Training Cost: 9797.306994	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.716201
Epoch: 24 	Training Cost: 9772.356087	 Valid Acc: 0.7154953429297206 	Best Valid Acc: 0.716201
Epoch: 25 	Training Cost: 9749.243450	 Valid Acc: 0.7153542195879199 	Best Valid Acc: 0.716201
Epoch: 26 	Training Cost: 9727.411946	 Valid Acc: 0.7152130962461191 	Best Valid Acc: 0.716201
Epoch: 27 	Training Cost: 9707.164106	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.716201
Epoch: 28 	Training Cost: 9688.226178	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.716201
Epoch: 29 	Training Cost: 9670.472865	 Valid Acc: 0.7149308495625176 	Best Valid Acc: 0.716201
Epoch: 30 	Training Cost: 9653.905153	 Valid Acc: 0.7143663561953147 	Best Valid Acc: 0.716201
Epoch: 31 	Training Cost: 9639.056363	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.716201
Epoch: 32 	Training Cost: 9622.158128	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.716201
Epoch: 33 	Training Cost: 9604.761098	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.716201
Epoch: 34 	Training Cost: 9585.277360	 Valid Acc: 0.7112616426756986 	Best Valid Acc: 0.716201
Epoch: 35 	Training Cost: 9562.478806	 Valid Acc: 0.7119672593847022 	Best Valid Acc: 0.716201
Epoch: 36 	Training Cost: 9532.451080	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.716201
Epoch: 37 	Training Cost: 9498.929520	 Valid Acc: 0.7108382726502963 	Best Valid Acc: 0.716201
Epoch: 38 	Training Cost: 9461.498725	 Valid Acc: 0.7116850127011007 	Best Valid Acc: 0.716201
Epoch: 39 	Training Cost: 9429.604110	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.716201
Epoch: 40 	Training Cost: 9398.464319	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.716201
Epoch: 41 	Training Cost: 9364.613041	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.716201
Epoch: 42 	Training Cost: 9338.032769	 Valid Acc: 0.7115438893593 	Best Valid Acc: 0.716201
Epoch: 43 	Training Cost: 9313.224962	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.716201
