nn10.py, same as nn7.py, but add gender/age info
lr=1e-05, lamb=1e-05, num_epoch=34
Epoch: 1 	Training Cost: 13857.207065	 Valid Acc: 0.6394298616991251 	Best Valid Acc: 0.639430
Epoch: 2 	Training Cost: 12678.849468	 Valid Acc: 0.6624329664126446 	Best Valid Acc: 0.662433
Epoch: 3 	Training Cost: 11919.251317	 Valid Acc: 0.6747106971493085 	Best Valid Acc: 0.674711
Epoch: 4 	Training Cost: 11663.676878	 Valid Acc: 0.6751340671747107 	Best Valid Acc: 0.675134
Epoch: 5 	Training Cost: 11551.819827	 Valid Acc: 0.6762630539091166 	Best Valid Acc: 0.676263
Epoch: 6 	Training Cost: 11489.907121	 Valid Acc: 0.6809201241885408 	Best Valid Acc: 0.680920
Epoch: 7 	Training Cost: 11452.123669	 Valid Acc: 0.6812023708721423 	Best Valid Acc: 0.681202
Epoch: 8 	Training Cost: 11427.594890	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.682614
Epoch: 9 	Training Cost: 11410.693383	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.683460
Epoch: 10 	Training Cost: 11398.138033	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.683460
Epoch: 11 	Training Cost: 11387.817817	 Valid Acc: 0.6827547276319503 	Best Valid Acc: 0.683460
Epoch: 12 	Training Cost: 11378.172600	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.683460
Epoch: 13 	Training Cost: 11367.897095	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.683460
Epoch: 14 	Training Cost: 11355.008748	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.683460
Epoch: 15 	Training Cost: 11337.259267	 Valid Acc: 0.6810612475303415 	Best Valid Acc: 0.683460
Epoch: 16 	Training Cost: 11310.709593	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.683460
Epoch: 17 	Training Cost: 11270.480999	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.683460
Epoch: 18 	Training Cost: 11214.109538	 Valid Acc: 0.6812023708721423 	Best Valid Acc: 0.683460
Epoch: 19 	Training Cost: 11143.184438	 Valid Acc: 0.6820491109229466 	Best Valid Acc: 0.683460
Epoch: 20 	Training Cost: 11061.087042	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.686424
Epoch: 21 	Training Cost: 10968.801551	 Valid Acc: 0.6927744848998024 	Best Valid Acc: 0.692774
Epoch: 22 	Training Cost: 10865.203767	 Valid Acc: 0.6933389782670054 	Best Valid Acc: 0.693339
Epoch: 23 	Training Cost: 10752.518511	 Valid Acc: 0.6972904318374259 	Best Valid Acc: 0.697290
Epoch: 24 	Training Cost: 10641.316013	 Valid Acc: 0.6991250352808355 	Best Valid Acc: 0.699125
Epoch: 25 	Training Cost: 10541.984712	 Valid Acc: 0.7003951453570421 	Best Valid Acc: 0.700395
Epoch: 26 	Training Cost: 10458.890599	 Valid Acc: 0.7033587355348575 	Best Valid Acc: 0.703359
Epoch: 27 	Training Cost: 10391.044342	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.704347
Epoch: 28 	Training Cost: 10335.279362	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.705899
Epoch: 29 	Training Cost: 10288.360113	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.705899
Epoch: 30 	Training Cost: 10247.821512	 Valid Acc: 0.705193338978267 	Best Valid Acc: 0.705899
Epoch: 31 	Training Cost: 10211.880455	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.706040
Epoch: 32 	Training Cost: 10179.297559	 Valid Acc: 0.7066045723962744 	Best Valid Acc: 0.706605
Epoch: 33 	Training Cost: 10149.506286	 Valid Acc: 0.707874682472481 	Best Valid Acc: 0.707875
Epoch: 34 	Training Cost: 10122.194606	 Valid Acc: 0.7084391758396839 	Best Valid Acc: 0.708439
lr=1e-05, lamb=1e-05, num_epoch=34, best_valid_acc=0.7084391758396839, test_acc=0.7011007620660458
