nn10.py, same as nn7.py, but add gender/age info
Tuning process for lr=4e-05
----------------------------------------------------------
lr=4e-05, lamb=0, num_epoch=100
Epoch: 1 	Training Cost: 12617.972598	 Valid Acc: 0.676545300592718 	Best Valid Acc: 0.676545
Epoch: 2 	Training Cost: 11560.717165	 Valid Acc: 0.6823313576065482 	Best Valid Acc: 0.682331
Epoch: 3 	Training Cost: 11466.577221	 Valid Acc: 0.6836014676827548 	Best Valid Acc: 0.683601
Epoch: 4 	Training Cost: 11394.055727	 Valid Acc: 0.6843070843917584 	Best Valid Acc: 0.684307
Epoch: 5 	Training Cost: 11197.048559	 Valid Acc: 0.6838837143663562 	Best Valid Acc: 0.684307
Epoch: 6 	Training Cost: 10947.527829	 Valid Acc: 0.6939034716342083 	Best Valid Acc: 0.693903
Epoch: 7 	Training Cost: 10692.328738	 Valid Acc: 0.6987016652554332 	Best Valid Acc: 0.698702
Epoch: 8 	Training Cost: 10483.576934	 Valid Acc: 0.7022297488004516 	Best Valid Acc: 0.702230
Epoch: 9 	Training Cost: 10342.377228	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.704347
Epoch: 10 	Training Cost: 10238.902342	 Valid Acc: 0.7054755856618685 	Best Valid Acc: 0.705476
Epoch: 11 	Training Cost: 10160.704025	 Valid Acc: 0.7074513124470787 	Best Valid Acc: 0.707451
Epoch: 12 	Training Cost: 10099.135699	 Valid Acc: 0.7102737792830934 	Best Valid Acc: 0.710274
Epoch: 13 	Training Cost: 10046.102908	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.712955
Epoch: 14 	Training Cost: 9999.806596	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714084
Epoch: 15 	Training Cost: 9958.029950	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714084
Epoch: 16 	Training Cost: 9919.785166	 Valid Acc: 0.7147897262207169 	Best Valid Acc: 0.714790
Epoch: 17 	Training Cost: 9883.516043	 Valid Acc: 0.7154953429297206 	Best Valid Acc: 0.715495
Epoch: 18 	Training Cost: 9849.438570	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.715495
Epoch: 19 	Training Cost: 9815.935078	 Valid Acc: 0.7153542195879199 	Best Valid Acc: 0.715495
Epoch: 20 	Training Cost: 9784.580446	 Valid Acc: 0.7170476996895286 	Best Valid Acc: 0.717048
Epoch: 21 	Training Cost: 9756.154927	 Valid Acc: 0.7178944397403331 	Best Valid Acc: 0.717894
Epoch: 22 	Training Cost: 9729.870055	 Valid Acc: 0.7159187129551228 	Best Valid Acc: 0.717894
Epoch: 23 	Training Cost: 9704.108267	 Valid Acc: 0.7149308495625176 	Best Valid Acc: 0.717894
Epoch: 24 	Training Cost: 9681.074485	 Valid Acc: 0.715777589613322 	Best Valid Acc: 0.717894
Epoch: 25 	Training Cost: 9658.326181	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.717894
Epoch: 26 	Training Cost: 9635.491070	 Valid Acc: 0.7154953429297206 	Best Valid Acc: 0.717894
Epoch: 27 	Training Cost: 9611.885820	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.717894
Epoch: 28 	Training Cost: 9583.274256	 Valid Acc: 0.7135196161445103 	Best Valid Acc: 0.717894
Epoch: 29 	Training Cost: 9545.722573	 Valid Acc: 0.7147897262207169 	Best Valid Acc: 0.717894
Epoch: 30 	Training Cost: 9500.311443	 Valid Acc: 0.7118261360429015 	Best Valid Acc: 0.717894
Epoch: 31 	Training Cost: 9454.351182	 Valid Acc: 0.7147897262207169 	Best Valid Acc: 0.717894
Epoch: 32 	Training Cost: 9419.172379	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.717894
Epoch: 33 	Training Cost: 9374.970595	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.717894
