nn10.py, same as nn7.py, but add gender/age info
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=1e-05, num_epoch=50
Epoch: 1 	Training Cost: 12865.660383	 Valid Acc: 0.6755574372001129 	Best Valid Acc: 0.675557
Epoch: 2 	Training Cost: 11612.676355	 Valid Acc: 0.6804967541631386 	Best Valid Acc: 0.680497
Epoch: 3 	Training Cost: 11480.394424	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 4 	Training Cost: 11433.835646	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.683178
Epoch: 5 	Training Cost: 11379.592140	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.683178
Epoch: 6 	Training Cost: 11245.086374	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 7 	Training Cost: 11049.467700	 Valid Acc: 0.6899520180637877 	Best Valid Acc: 0.689952
Epoch: 8 	Training Cost: 10816.806728	 Valid Acc: 0.6968670618120237 	Best Valid Acc: 0.696867
Epoch: 9 	Training Cost: 10578.554568	 Valid Acc: 0.7019475021168501 	Best Valid Acc: 0.701948
Epoch: 10 	Training Cost: 10413.278282	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.704347
Epoch: 11 	Training Cost: 10304.174053	 Valid Acc: 0.705193338978267 	Best Valid Acc: 0.705193
Epoch: 12 	Training Cost: 10222.017760	 Valid Acc: 0.7085802991814846 	Best Valid Acc: 0.708580
Epoch: 13 	Training Cost: 10156.367155	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708721
Epoch: 14 	Training Cost: 10104.246186	 Valid Acc: 0.7104149026248942 	Best Valid Acc: 0.710415
Epoch: 15 	Training Cost: 10061.570622	 Valid Acc: 0.7123906294101044 	Best Valid Acc: 0.712391
Epoch: 16 	Training Cost: 10024.280753	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.712955
Epoch: 17 	Training Cost: 9990.923370	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.712955
Epoch: 18 	Training Cost: 9960.299096	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.713943
Epoch: 19 	Training Cost: 9931.889929	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.713943
Epoch: 20 	Training Cost: 9905.284556	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.713943
Epoch: 21 	Training Cost: 9879.770409	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.713943
Epoch: 22 	Training Cost: 9855.082340	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.714649
Epoch: 23 	Training Cost: 9831.192975	 Valid Acc: 0.7153542195879199 	Best Valid Acc: 0.715354
Epoch: 24 	Training Cost: 9807.681751	 Valid Acc: 0.7150719729043183 	Best Valid Acc: 0.715354
Epoch: 25 	Training Cost: 9785.211511	 Valid Acc: 0.7154953429297206 	Best Valid Acc: 0.715495
Epoch: 26 	Training Cost: 9763.830223	 Valid Acc: 0.7159187129551228 	Best Valid Acc: 0.715919
Epoch: 27 	Training Cost: 9743.883115	 Valid Acc: 0.7160598362969235 	Best Valid Acc: 0.716060
Epoch: 28 	Training Cost: 9724.768563	 Valid Acc: 0.7166243296641265 	Best Valid Acc: 0.716624
Epoch: 29 	Training Cost: 9706.540201	 Valid Acc: 0.7166243296641265 	Best Valid Acc: 0.716624
Epoch: 30 	Training Cost: 9689.212426	 Valid Acc: 0.7156364662715213 	Best Valid Acc: 0.716624
Epoch: 31 	Training Cost: 9671.694755	 Valid Acc: 0.7163420829805249 	Best Valid Acc: 0.716624
Epoch: 32 	Training Cost: 9656.482857	 Valid Acc: 0.7169065763477279 	Best Valid Acc: 0.716907
Epoch: 33 	Training Cost: 9639.198906	 Valid Acc: 0.7163420829805249 	Best Valid Acc: 0.716907
Epoch: 34 	Training Cost: 9623.303656	 Valid Acc: 0.7183178097657352 	Best Valid Acc: 0.718318
Epoch: 35 	Training Cost: 9602.762019	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.718318
Epoch: 36 	Training Cost: 9580.032867	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.718318
Epoch: 37 	Training Cost: 9550.954087	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.718318
Epoch: 38 	Training Cost: 9518.032654	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.718318
Epoch: 39 	Training Cost: 9484.105216	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.718318
Epoch: 40 	Training Cost: 9455.893460	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.718318
