nn10.py, same as nn7.py, but add gender/age info
Tuning process for lr=0.0001
----------------------------------------------------------
lr=0.0001, lamb=0, num_epoch=50
Epoch: 1 	Training Cost: 12240.834668	 Valid Acc: 0.6800733841377364 	Best Valid Acc: 0.680073
Epoch: 2 	Training Cost: 11510.307598	 Valid Acc: 0.6837425910245555 	Best Valid Acc: 0.683743
Epoch: 3 	Training Cost: 11436.075398	 Valid Acc: 0.6843070843917584 	Best Valid Acc: 0.684307
Epoch: 4 	Training Cost: 11348.937942	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685295
Epoch: 5 	Training Cost: 11182.741867	 Valid Acc: 0.6867061812023709 	Best Valid Acc: 0.686706
Epoch: 6 	Training Cost: 10903.046636	 Valid Acc: 0.698278295230031 	Best Valid Acc: 0.698278
Epoch: 7 	Training Cost: 10611.771887	 Valid Acc: 0.7020886254586508 	Best Valid Acc: 0.702089
Epoch: 8 	Training Cost: 10389.486716	 Valid Acc: 0.7036409822184589 	Best Valid Acc: 0.703641
Epoch: 9 	Training Cost: 10220.492622	 Valid Acc: 0.707874682472481 	Best Valid Acc: 0.707875
Epoch: 10 	Training Cost: 10079.858775	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.709709
Epoch: 11 	Training Cost: 9958.101143	 Valid Acc: 0.7111205193338979 	Best Valid Acc: 0.711121
Epoch: 12 	Training Cost: 9850.411805	 Valid Acc: 0.7090036692068868 	Best Valid Acc: 0.711121
Epoch: 13 	Training Cost: 9756.055112	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.711121
Epoch: 14 	Training Cost: 9673.909478	 Valid Acc: 0.7070279424216765 	Best Valid Acc: 0.711121
Epoch: 15 	Training Cost: 9600.598675	 Valid Acc: 0.7077335591306803 	Best Valid Acc: 0.711121
Epoch: 16 	Training Cost: 9530.423038	 Valid Acc: 0.7074513124470787 	Best Valid Acc: 0.711121
Epoch: 17 	Training Cost: 9459.732180	 Valid Acc: 0.7080158058142817 	Best Valid Acc: 0.711121
Epoch: 18 	Training Cost: 9385.513158	 Valid Acc: 0.7067456957380751 	Best Valid Acc: 0.711121
Epoch: 19 	Training Cost: 9306.443217	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.711121
Epoch: 20 	Training Cost: 9222.756611	 Valid Acc: 0.7049110922946655 	Best Valid Acc: 0.711121
Epoch: 21 	Training Cost: 9138.270647	 Valid Acc: 0.7039232289020604 	Best Valid Acc: 0.711121
Epoch: 22 	Training Cost: 9055.247675	 Valid Acc: 0.7037821055602597 	Best Valid Acc: 0.711121
Epoch: 23 	Training Cost: 8974.798560	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.711121
Epoch: 24 	Training Cost: 8892.596382	 Valid Acc: 0.7023708721422524 	Best Valid Acc: 0.711121
Epoch: 25 	Training Cost: 8808.681017	 Valid Acc: 0.7019475021168501 	Best Valid Acc: 0.711121
Epoch: 26 	Training Cost: 8719.472751	 Valid Acc: 0.7006773920406435 	Best Valid Acc: 0.711121
Epoch: 27 	Training Cost: 8624.679014	 Valid Acc: 0.6995484053062376 	Best Valid Acc: 0.711121
Epoch: 28 	Training Cost: 8525.395270	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.711121
Epoch: 29 	Training Cost: 8424.692047	 Valid Acc: 0.6996895286480384 	Best Valid Acc: 0.711121
Epoch: 30 	Training Cost: 8324.848669	 Valid Acc: 0.6978549252046289 	Best Valid Acc: 0.711121
Epoch: 31 	Training Cost: 8228.772510	 Valid Acc: 0.6972904318374259 	Best Valid Acc: 0.711121
Epoch: 32 	Training Cost: 8131.397986	 Valid Acc: 0.6968670618120237 	Best Valid Acc: 0.711121
Epoch: 33 	Training Cost: 8035.845563	 Valid Acc: 0.6953147050522156 	Best Valid Acc: 0.711121
Epoch: 34 	Training Cost: 7941.098425	 Valid Acc: 0.6954558283940163 	Best Valid Acc: 0.711121
Epoch: 35 	Training Cost: 7850.444704	 Valid Acc: 0.69616144510302 	Best Valid Acc: 0.711121
Epoch: 36 	Training Cost: 7757.912278	 Valid Acc: 0.6951735817104149 	Best Valid Acc: 0.711121
Epoch: 37 	Training Cost: 7665.235279	 Valid Acc: 0.6941857183178097 	Best Valid Acc: 0.711121
Epoch: 38 	Training Cost: 7572.152319	 Valid Acc: 0.6936212249506069 	Best Valid Acc: 0.711121
Epoch: 39 	Training Cost: 7480.206065	 Valid Acc: 0.6917866215071973 	Best Valid Acc: 0.711121
Epoch: 40 	Training Cost: 7388.007920	 Valid Acc: 0.691927744848998 	Best Valid Acc: 0.711121
Epoch: 41 	Training Cost: 7295.254438	 Valid Acc: 0.6913632514817951 	Best Valid Acc: 0.711121
Epoch: 42 	Training Cost: 7203.060060	 Valid Acc: 0.6920688681907987 	Best Valid Acc: 0.711121
Epoch: 43 	Training Cost: 7111.213724	 Valid Acc: 0.6917866215071973 	Best Valid Acc: 0.711121
Epoch: 44 	Training Cost: 7020.253450	 Valid Acc: 0.6895286480383855 	Best Valid Acc: 0.711121
Epoch: 45 	Training Cost: 6929.751296	 Valid Acc: 0.6888230313293818 	Best Valid Acc: 0.711121
Epoch: 46 	Training Cost: 6840.898791	 Valid Acc: 0.688258537962179 	Best Valid Acc: 0.711121
Epoch: 47 	Training Cost: 6752.917988	 Valid Acc: 0.6867061812023709 	Best Valid Acc: 0.711121
Epoch: 48 	Training Cost: 6666.403664	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.711121
Epoch: 49 	Training Cost: 6581.029522	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.711121
Epoch: 50 	Training Cost: 6497.673689	 Valid Acc: 0.6855771944679651 	Best Valid Acc: 0.711121
lr=0.0001, lamb=0, num_epoch=50, test_acc=0.677109793959921
----------------------------------------------------------
----------------------------------------------------------
lr=0.0001, lamb=1e-05, num_epoch=50
Epoch: 1 	Training Cost: 12234.508204	 Valid Acc: 0.6806378775049393 	Best Valid Acc: 0.680638
Epoch: 2 	Training Cost: 11501.058735	 Valid Acc: 0.6796500141123342 	Best Valid Acc: 0.680638
Epoch: 3 	Training Cost: 11412.030272	 Valid Acc: 0.6820491109229466 	Best Valid Acc: 0.682049
Epoch: 4 	Training Cost: 11268.321393	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 5 	Training Cost: 11015.105952	 Valid Acc: 0.6965848151284222 	Best Valid Acc: 0.696585
Epoch: 6 	Training Cost: 10726.327649	 Valid Acc: 0.7012418854078465 	Best Valid Acc: 0.701242
Epoch: 7 	Training Cost: 10491.795233	 Valid Acc: 0.705193338978267 	Best Valid Acc: 0.705193
Epoch: 8 	Training Cost: 10316.580010	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709568
Epoch: 9 	Training Cost: 10180.663232	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.709568
Epoch: 10 	Training Cost: 10066.606661	 Valid Acc: 0.7112616426756986 	Best Valid Acc: 0.711262
Epoch: 11 	Training Cost: 9966.408482	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714225
Epoch: 12 	Training Cost: 9874.815220	 Valid Acc: 0.7147897262207169 	Best Valid Acc: 0.714790
Epoch: 13 	Training Cost: 9791.619284	 Valid Acc: 0.7140841095117132 	Best Valid Acc: 0.714790
Epoch: 14 	Training Cost: 9717.600994	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.714790
Epoch: 15 	Training Cost: 9651.264348	 Valid Acc: 0.7116850127011007 	Best Valid Acc: 0.714790
Epoch: 16 	Training Cost: 9590.562659	 Valid Acc: 0.709991532599492 	Best Valid Acc: 0.714790
Epoch: 17 	Training Cost: 9532.521003	 Valid Acc: 0.7075924357888794 	Best Valid Acc: 0.714790
Epoch: 18 	Training Cost: 9473.538678	 Valid Acc: 0.7068868190798758 	Best Valid Acc: 0.714790
Epoch: 19 	Training Cost: 9411.898663	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.714790
Epoch: 20 	Training Cost: 9345.554166	 Valid Acc: 0.7034998588766582 	Best Valid Acc: 0.714790
Epoch: 21 	Training Cost: 9279.746456	 Valid Acc: 0.7015241320914479 	Best Valid Acc: 0.714790
Epoch: 22 	Training Cost: 9209.368088	 Valid Acc: 0.6989839119390348 	Best Valid Acc: 0.714790
Epoch: 23 	Training Cost: 9142.040058	 Valid Acc: 0.7006773920406435 	Best Valid Acc: 0.714790
Epoch: 24 	Training Cost: 9076.814427	 Valid Acc: 0.7016652554332486 	Best Valid Acc: 0.714790
Epoch: 25 	Training Cost: 9013.593605	 Valid Acc: 0.7001128986734406 	Best Valid Acc: 0.714790
Epoch: 26 	Training Cost: 8950.867337	 Valid Acc: 0.6998306519898391 	Best Valid Acc: 0.714790
Epoch: 27 	Training Cost: 8886.408429	 Valid Acc: 0.698842788597234 	Best Valid Acc: 0.714790
Epoch: 28 	Training Cost: 8819.110009	 Valid Acc: 0.6978549252046289 	Best Valid Acc: 0.714790
Epoch: 29 	Training Cost: 8746.379194	 Valid Acc: 0.6970081851538245 	Best Valid Acc: 0.714790
Epoch: 30 	Training Cost: 8663.373889	 Valid Acc: 0.6963025684448207 	Best Valid Acc: 0.714790
Epoch: 31 	Training Cost: 8573.437968	 Valid Acc: 0.6964436917866215 	Best Valid Acc: 0.714790
Epoch: 32 	Training Cost: 8478.462631	 Valid Acc: 0.6958791984194186 	Best Valid Acc: 0.714790
Epoch: 33 	Training Cost: 8373.740908	 Valid Acc: 0.6948913350268134 	Best Valid Acc: 0.714790
Epoch: 34 	Training Cost: 8269.747002	 Valid Acc: 0.6947502116850127 	Best Valid Acc: 0.714790
Epoch: 35 	Training Cost: 8161.901879	 Valid Acc: 0.6927744848998024 	Best Valid Acc: 0.714790
Epoch: 36 	Training Cost: 8056.907560	 Valid Acc: 0.689810894721987 	Best Valid Acc: 0.714790
Epoch: 37 	Training Cost: 7954.667928	 Valid Acc: 0.6886819079875811 	Best Valid Acc: 0.714790
Epoch: 38 	Training Cost: 7857.551035	 Valid Acc: 0.6869884278859724 	Best Valid Acc: 0.714790
Epoch: 39 	Training Cost: 7764.673321	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.714790
Epoch: 40 	Training Cost: 7681.342722	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.714790
