nn5.py, two encoders + one decoder
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0.0001, num_epoch=58
Epoch: 1 	Training Cost: 13907.841674	 Valid Acc: 0.6285633643804686 	Best Valid Acc: 0.628563
Epoch: 2 	Training Cost: 12971.385650	 Valid Acc: 0.655376799322608 	Best Valid Acc: 0.655377
Epoch: 3 	Training Cost: 12110.255201	 Valid Acc: 0.6732994637313011 	Best Valid Acc: 0.673299
Epoch: 4 	Training Cost: 11748.672234	 Valid Acc: 0.6804967541631386 	Best Valid Acc: 0.680497
Epoch: 5 	Training Cost: 11596.474965	 Valid Acc: 0.6812023708721423 	Best Valid Acc: 0.681202
Epoch: 6 	Training Cost: 11513.421646	 Valid Acc: 0.6814846175557437 	Best Valid Acc: 0.681485
Epoch: 7 	Training Cost: 11461.891431	 Valid Acc: 0.6819079875811459 	Best Valid Acc: 0.681908
Epoch: 8 	Training Cost: 11427.812519	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.683037
Epoch: 9 	Training Cost: 11403.975262	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 10 	Training Cost: 11386.149052	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 11 	Training Cost: 11371.485588	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.683460
Epoch: 12 	Training Cost: 11358.238535	 Valid Acc: 0.6837425910245555 	Best Valid Acc: 0.683743
Epoch: 13 	Training Cost: 11345.198895	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 14 	Training Cost: 11331.252952	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 15 	Training Cost: 11315.310226	 Valid Acc: 0.6848715777589613 	Best Valid Acc: 0.684872
Epoch: 16 	Training Cost: 11296.009427	 Valid Acc: 0.6850127011007621 	Best Valid Acc: 0.685013
Epoch: 17 	Training Cost: 11271.654222	 Valid Acc: 0.6850127011007621 	Best Valid Acc: 0.685013
Epoch: 18 	Training Cost: 11240.132974	 Valid Acc: 0.6843070843917584 	Best Valid Acc: 0.685013
Epoch: 19 	Training Cost: 11199.128931	 Valid Acc: 0.6850127011007621 	Best Valid Acc: 0.685013
Epoch: 20 	Training Cost: 11146.656185	 Valid Acc: 0.6855771944679651 	Best Valid Acc: 0.685577
Epoch: 21 	Training Cost: 11082.305975	 Valid Acc: 0.6875529212531752 	Best Valid Acc: 0.687553
Epoch: 22 	Training Cost: 11007.212101	 Valid Acc: 0.6917866215071973 	Best Valid Acc: 0.691787
Epoch: 23 	Training Cost: 10924.621379	 Valid Acc: 0.6926333615580017 	Best Valid Acc: 0.692633
Epoch: 24 	Training Cost: 10838.017767	 Valid Acc: 0.694609088343212 	Best Valid Acc: 0.694609
Epoch: 25 	Training Cost: 10751.099248	 Valid Acc: 0.6957380750776179 	Best Valid Acc: 0.695738
Epoch: 26 	Training Cost: 10667.497222	 Valid Acc: 0.6970081851538245 	Best Valid Acc: 0.697008
Epoch: 27 	Training Cost: 10590.785711	 Valid Acc: 0.7012418854078465 	Best Valid Acc: 0.701242
Epoch: 28 	Training Cost: 10522.740939	 Valid Acc: 0.7032176121930568 	Best Valid Acc: 0.703218
Epoch: 29 	Training Cost: 10463.471023	 Valid Acc: 0.7043465989274627 	Best Valid Acc: 0.704347
Epoch: 30 	Training Cost: 10412.000787	 Valid Acc: 0.7042054755856618 	Best Valid Acc: 0.704347
Epoch: 31 	Training Cost: 10367.025319	 Valid Acc: 0.705193338978267 	Best Valid Acc: 0.705193
Epoch: 32 	Training Cost: 10327.272463	 Valid Acc: 0.7067456957380751 	Best Valid Acc: 0.706746
Epoch: 33 	Training Cost: 10291.697462	 Valid Acc: 0.7075924357888794 	Best Valid Acc: 0.707592
Epoch: 34 	Training Cost: 10259.544016	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708721
Epoch: 35 	Training Cost: 10230.258175	 Valid Acc: 0.7102737792830934 	Best Valid Acc: 0.710274
Epoch: 36 	Training Cost: 10203.446583	 Valid Acc: 0.7101326559412927 	Best Valid Acc: 0.710274
Epoch: 37 	Training Cost: 10178.861514	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.710274
Epoch: 38 	Training Cost: 10156.074197	 Valid Acc: 0.707874682472481 	Best Valid Acc: 0.710274
Epoch: 39 	Training Cost: 10134.964216	 Valid Acc: 0.7074513124470787 	Best Valid Acc: 0.710274
Epoch: 40 	Training Cost: 10115.294036	 Valid Acc: 0.7084391758396839 	Best Valid Acc: 0.710274
Epoch: 41 	Training Cost: 10096.844451	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.710274
Epoch: 42 	Training Cost: 10079.496947	 Valid Acc: 0.7082980524978831 	Best Valid Acc: 0.710274
Epoch: 43 	Training Cost: 10063.133987	 Valid Acc: 0.7092859158904883 	Best Valid Acc: 0.710274
Epoch: 44 	Training Cost: 10047.707754	 Valid Acc: 0.7101326559412927 	Best Valid Acc: 0.710274
Epoch: 45 	Training Cost: 10033.036411	 Valid Acc: 0.7112616426756986 	Best Valid Acc: 0.711262
Epoch: 46 	Training Cost: 10019.108118	 Valid Acc: 0.7105560259666949 	Best Valid Acc: 0.711262
Epoch: 47 	Training Cost: 10005.940980	 Valid Acc: 0.7102737792830934 	Best Valid Acc: 0.711262
Epoch: 48 	Training Cost: 9993.302534	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.711262
Epoch: 49 	Training Cost: 9981.278896	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.711262
Epoch: 50 	Training Cost: 9969.769780	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.711262
Epoch: 51 	Training Cost: 9958.723993	 Valid Acc: 0.7105560259666949 	Best Valid Acc: 0.711262
Epoch: 52 	Training Cost: 9948.111674	 Valid Acc: 0.7112616426756986 	Best Valid Acc: 0.711262
Epoch: 53 	Training Cost: 9937.881376	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712108
Epoch: 54 	Training Cost: 9927.957582	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 55 	Training Cost: 9918.345008	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 56 	Training Cost: 9908.989493	 Valid Acc: 0.7118261360429015 	Best Valid Acc: 0.712250
