nn6.py, two encoders + one decoder (map to high dimension first)
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 12886.877017	 Valid Acc: 0.6738639570985041 	Best Valid Acc: 0.673864
Epoch: 2 	Training Cost: 11601.131164	 Valid Acc: 0.6838837143663562 	Best Valid Acc: 0.683884
Epoch: 3 	Training Cost: 11422.110733	 Valid Acc: 0.6860005644933672 	Best Valid Acc: 0.686001
Epoch: 4 	Training Cost: 11331.374372	 Valid Acc: 0.6851538244425628 	Best Valid Acc: 0.686001
Epoch: 5 	Training Cost: 11203.747705	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.686001
Epoch: 6 	Training Cost: 11011.526020	 Valid Acc: 0.6926333615580017 	Best Valid Acc: 0.692633
Epoch: 7 	Training Cost: 10799.895818	 Valid Acc: 0.6964436917866215 	Best Valid Acc: 0.696444
Epoch: 8 	Training Cost: 10610.201539	 Valid Acc: 0.6994072819644369 	Best Valid Acc: 0.699407
Epoch: 9 	Training Cost: 10449.444025	 Valid Acc: 0.7018063787750494 	Best Valid Acc: 0.701806
Epoch: 10 	Training Cost: 10315.459347	 Valid Acc: 0.7022297488004516 	Best Valid Acc: 0.702230
Epoch: 11 	Training Cost: 10206.009576	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.704488
Epoch: 12 	Training Cost: 10116.958820	 Valid Acc: 0.7063223257126728 	Best Valid Acc: 0.706322
Epoch: 13 	Training Cost: 10043.333699	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.708863
Epoch: 14 	Training Cost: 9980.457835	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.709709
Epoch: 15 	Training Cost: 9924.754067	 Valid Acc: 0.7082980524978831 	Best Valid Acc: 0.709709
Epoch: 16 	Training Cost: 9873.982571	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.709709
Epoch: 17 	Training Cost: 9825.873029	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709709
Epoch: 18 	Training Cost: 9778.158182	 Valid Acc: 0.7098504092576913 	Best Valid Acc: 0.709850
Epoch: 19 	Training Cost: 9729.333708	 Valid Acc: 0.7101326559412927 	Best Valid Acc: 0.710133
Epoch: 20 	Training Cost: 9676.795579	 Valid Acc: 0.7104149026248942 	Best Valid Acc: 0.710415
Epoch: 21 	Training Cost: 9619.155693	 Valid Acc: 0.7114027660174993 	Best Valid Acc: 0.711403
Epoch: 22 	Training Cost: 9555.067597	 Valid Acc: 0.7108382726502963 	Best Valid Acc: 0.711403
Epoch: 23 	Training Cost: 9484.885615	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.711403
