nn7.py, same as nn4.py, but no question info
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 13921.871022	 Valid Acc: 0.6261642675698561 	Best Valid Acc: 0.626164
Epoch: 2 	Training Cost: 12897.722493	 Valid Acc: 0.6531188258537962 	Best Valid Acc: 0.653119
Epoch: 3 	Training Cost: 11948.838755	 Valid Acc: 0.672876093705899 	Best Valid Acc: 0.672876
Epoch: 4 	Training Cost: 11659.286709	 Valid Acc: 0.6751340671747107 	Best Valid Acc: 0.675134
Epoch: 5 	Training Cost: 11535.772666	 Valid Acc: 0.6754163138583121 	Best Valid Acc: 0.675416
Epoch: 6 	Training Cost: 11464.695254	 Valid Acc: 0.676545300592718 	Best Valid Acc: 0.676545
Epoch: 7 	Training Cost: 11418.596146	 Valid Acc: 0.6782387806943269 	Best Valid Acc: 0.678239
Epoch: 8 	Training Cost: 11386.286768	 Valid Acc: 0.6796500141123342 	Best Valid Acc: 0.679650
Epoch: 9 	Training Cost: 11362.018026	 Valid Acc: 0.6797911374541349 	Best Valid Acc: 0.679791
Epoch: 10 	Training Cost: 11342.331573	 Valid Acc: 0.6806378775049393 	Best Valid Acc: 0.680638
Epoch: 11 	Training Cost: 11324.947817	 Valid Acc: 0.6804967541631386 	Best Valid Acc: 0.680638
Epoch: 12 	Training Cost: 11308.357605	 Valid Acc: 0.6823313576065482 	Best Valid Acc: 0.682331
Epoch: 13 	Training Cost: 11291.199189	 Valid Acc: 0.6823313576065482 	Best Valid Acc: 0.682331
Epoch: 14 	Training Cost: 11272.339703	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.682472
Epoch: 15 	Training Cost: 11250.747503	 Valid Acc: 0.681343494213943 	Best Valid Acc: 0.682472
Epoch: 16 	Training Cost: 11224.880716	 Valid Acc: 0.6814846175557437 	Best Valid Acc: 0.682472
Epoch: 17 	Training Cost: 11192.859765	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.682472
Epoch: 18 	Training Cost: 11153.761254	 Valid Acc: 0.6827547276319503 	Best Valid Acc: 0.682755
Epoch: 19 	Training Cost: 11108.178699	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 20 	Training Cost: 11059.448200	 Valid Acc: 0.6857183178097658 	Best Valid Acc: 0.685718
Epoch: 21 	Training Cost: 11010.705300	 Valid Acc: 0.6864239345187694 	Best Valid Acc: 0.686424
Epoch: 22 	Training Cost: 10964.284889	 Valid Acc: 0.6871295512277731 	Best Valid Acc: 0.687130
Epoch: 23 	Training Cost: 10919.345130	 Valid Acc: 0.6875529212531752 	Best Valid Acc: 0.687553
Epoch: 24 	Training Cost: 10873.372575	 Valid Acc: 0.6902342647473892 	Best Valid Acc: 0.690234
Epoch: 25 	Training Cost: 10825.686722	 Valid Acc: 0.6915043748235958 	Best Valid Acc: 0.691504
Epoch: 26 	Training Cost: 10774.879440	 Valid Acc: 0.6954558283940163 	Best Valid Acc: 0.695456
Epoch: 27 	Training Cost: 10718.767138	 Valid Acc: 0.6955969517358171 	Best Valid Acc: 0.695597
Epoch: 28 	Training Cost: 10656.687534	 Valid Acc: 0.6968670618120237 	Best Valid Acc: 0.696867
Epoch: 29 	Training Cost: 10589.679443	 Valid Acc: 0.7008185153824442 	Best Valid Acc: 0.700819
Epoch: 30 	Training Cost: 10520.112889	 Valid Acc: 0.7033587355348575 	Best Valid Acc: 0.703359
Epoch: 31 	Training Cost: 10451.594101	 Valid Acc: 0.7018063787750494 	Best Valid Acc: 0.703359
Epoch: 32 	Training Cost: 10387.755521	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.704629
Epoch: 33 	Training Cost: 10329.440472	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.706040
Epoch: 34 	Training Cost: 10276.894104	 Valid Acc: 0.7050522156364663 	Best Valid Acc: 0.706040
Epoch: 35 	Training Cost: 10230.086576	 Valid Acc: 0.7054755856618685 	Best Valid Acc: 0.706040
Epoch: 36 	Training Cost: 10188.340165	 Valid Acc: 0.7066045723962744 	Best Valid Acc: 0.706605
Epoch: 37 	Training Cost: 10150.851795	 Valid Acc: 0.7050522156364663 	Best Valid Acc: 0.706605
Epoch: 38 	Training Cost: 10117.132164	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.706605
Epoch: 39 	Training Cost: 10086.567666	 Valid Acc: 0.70575783234547 	Best Valid Acc: 0.706605
Epoch: 40 	Training Cost: 10058.757771	 Valid Acc: 0.7058989556872707 	Best Valid Acc: 0.706605
Epoch: 41 	Training Cost: 10033.122272	 Valid Acc: 0.7056167090036692 	Best Valid Acc: 0.706605
Epoch: 42 	Training Cost: 10009.201711	 Valid Acc: 0.7063223257126728 	Best Valid Acc: 0.706605
Epoch: 43 	Training Cost: 9986.829548	 Valid Acc: 0.7074513124470787 	Best Valid Acc: 0.707451
Epoch: 44 	Training Cost: 9965.842289	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708721
Epoch: 45 	Training Cost: 9946.108283	 Valid Acc: 0.7085802991814846 	Best Valid Acc: 0.708721
Epoch: 46 	Training Cost: 9927.408256	 Valid Acc: 0.7097092859158904 	Best Valid Acc: 0.709709
Epoch: 47 	Training Cost: 9909.516348	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709709
Epoch: 48 	Training Cost: 9892.426903	 Valid Acc: 0.7111205193338979 	Best Valid Acc: 0.711121
Epoch: 49 	Training Cost: 9876.042605	 Valid Acc: 0.7118261360429015 	Best Valid Acc: 0.711826
Epoch: 50 	Training Cost: 9860.247232	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712108
Epoch: 51 	Training Cost: 9844.994973	 Valid Acc: 0.7126728760937059 	Best Valid Acc: 0.712673
Epoch: 52 	Training Cost: 9830.273155	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.712814
Epoch: 53 	Training Cost: 9815.956576	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.713943
